transcript,word_count,error_density,speaking_rate,vocab_diversity,avg_word_length,hesitation_index,label,filename
" My favorite place to visit will be Japan because well, I'm really interested in their culture. I'm really into all Japanese stuff like anime, their history, etc. So that's why that would be my favorite place to visit. Regarding the food that I would like to try, I would like to try the yoshas, I would like to try the cakes that they sell that has different flavors mainly for fruits. And the season that I would like to go is during the cherry seasons when all the trees have those pink leaves. So I think that's really cool.",99,0.010101010101010102,99.86550100874243,0.6161616161616161,4.333333333333333,0.050505050505050504,3.0,audio_173
" I love to reading and my hobbies are reading. Emma discovered her love for reading at an engage when the pages of a one-night fairy tale book transported her to a world of magic and adventure. Now with the bustling carrier and fast pace in life, reading has become her sanctuary, her way of unwinding after a long day. This reading was very inspiring to me so that I started reading by inspiring her and her collection has grown significantly over the years filling her bookshelves with the rich tasspery of gems ranging from mystery and science fiction to historical fiction and contemporary literature. On weekends, I used to reading sessions extended to leisure afternoons in the nearby park or a quiet cave where the background hum of nature or the soft murmurs of people adds a comforting soundtrack to her literacy adventures. Though reading, he is not only an not only exposure depo-",154,0.032467532467532464,153.64150315929498,0.6753246753246753,4.785714285714286,0.025974025974025976,3.0,audio_138
" Yeah, my favorite place to visit is Thirumala. It is near Chitur district. There is a very favorite temple. In the temple, Lord Venkateswara is there. There is a famous foodie's dosa dosa. I love that dosa very much. When I am travel to that place, with my friends, there is a very re-enjoyed with my friends and visit so many places in that Thirumala.",65,0.07692307692307693,68.42105263157895,0.6461538461538462,4.430769230769231,0.06153846153846154,2.0,audio_127
" I am going to tell about my hobby. And my hobby, generally a hobby is considered as a regular activity that is done for enjoyment during leisure time. My hobby include themed items and objects engaging in creative and artistic pursuits, playing sports or doing any creative things or participating in any of the activities. I generally interested in reading books or developing fashions, making it diverse and different from others. Hobbish tend to follow trends in society and also the advancing production and technology of this generation. Thank you.",90,0.011111111111111112,98.18181818181819,0.7555555555555555,5.155555555555556,0.03333333333333333,2.0,audio_95
" Hmm, this is a tough one so my best day of my life basically right now. I will say it's the day my daughter was born and my wife and I basically had to pay with that. I mean, she will not be the best day of her life to be on a holiday. I think the best day of her life is the day my daughter was born and it was amazing sight to, you know, bring someone to the store and someone that will take care of it and not turn. I will say it's the day my daughter was born and I will bring someone to watch her grow and it's very much on my mind for me and you know, I think about the days just keeping her spoiled. Yeah, basically, that's the best day of my life.",142,0.04225352112676056,142.0,0.47183098591549294,3.619718309859155,0.04929577464788732,3.5,audio_73
" My goal in life has always been to be the best business consultant and this was fuelled when I was young growing up. There's this one time I went to the bank and I saw one banker who was seated there and he was an amazing guy the way he dressed. It was so amazing, you know, and I loved how he looked and I said one time I want to be, you know, an accountant and I worked very hard for me to come this far. A lot of challenges, especially financial for me to attain my education has been very hard because I come from a poor background and poor family. But obviously my children motivates me each and every day to wake up and do more and be the best version of myself and by doing so I've become the best accountant.",145,0.020689655172413793,145.0,0.6068965517241379,3.9448275862068964,0.034482758620689655,4.0,audio_34
" I want to ride the train. However, the file is very long. There are several elders ahead of me. And then when the train comes, I step in the train slowly and let the elders move ahead of me and have to locate their seat in a proper place. I allow the elders to sit down and I find myself standing in the train while the train is moving slowly going to the north side of the train.",78,0.01282051282051282,99.27874416631312,0.6025641025641025,3.8846153846153846,0.02564102564102564,3.0,audio_120_2
" Can you describe the journey of travel experience getting this in the world? I tried to go to a province in Lithuania where I tried to do a vacation. Well, at first I'm hesitant if I will go to a land travel or I should go. On an airplane travel. Well, the experience was great. The destination was beautiful. And all the experiences is great. Because I see new people, new destination, and I think that's really great. Why there any local foods or dishes from that place that you love? I love the fruits. The fruits there are easily to eat.",102,0.00980392156862745,103.72881355932203,0.6764705882352942,4.313725490196078,0.0392156862745098,2.0,audio_224
" Here is a summary from bravley.in. The marketplace is a very busy place where the people go to buy articles of their needs. It is a center of an attraction both buyers and sellers. A market a way to crowd these cart, horses, donkeys and camels. They come to load it with the process of a season. Such as cotton, green, oil, seeds, etc. vegetables, etc.",66,0.0,96.30350194552527,0.7575757575757576,4.348484848484849,0.10606060606060606,2.0,audio_342
" An airport is a baslity, a hob filled with travellers, wheeling suitcases, the sounds of announcement and the aroma of coffee. Bright shop lined the, uhh, con courses, con courses, uhh, while large window, overlooked planes, uhh, taking off an, uhh, landing. And anticipation as people embark on their journeys. It is in Russia.",54,0.037037037037037035,63.529411764705884,0.8148148148148148,5.092592592592593,0.24074074074074073,2.0,audio_228
